ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,ZOI_mm
146,20201123,Day14,1,1,E. coli,0.1ng/mL LPS,0
146,20201123,Day14,1,2,E. coli,0.1ng/mL LPS,0
146,20201123,Day14,1,1,E. coli,100ng/mL LPS,0
146,20201123,Day14,1,2,E. coli,100ng/mL LPS,0
146,20201123,Day14,1,1,E. coli,0.1ng/mL LTA,0
146,20201123,Day14,1,2,E. coli,0.1ng/mL LTA,0
146,20201123,Day14,1,1,E. coli,100ng/mL LTA,0
146,20201123,Day14,1,2,E. coli,100ng/mL LTA,0
146,20201123,Day14,1,1,E. coli,Autoclaved bacteria,0
146,20201123,Day14,1,2,E. coli,Autoclaved bacteria,0
146,20201123,Day14,1,1,E. coli,Fungi alone,0
146,20201123,Day14,1,2,E. coli,Fungi alone,0
CON,20201123,Day14,1,1,E. coli,CON control,0
CON,20201123,Day14,1,2,E. coli,CON control,0
CON,20201123,Day14,1,1,E. coli,PDB control,0
CON,20201123,Day14,1,2,E. coli,PDB control,0
146,20201123,Day14,1,1,S. aureus,0.1ng/mL LPS,0
146,20201123,Day14,1,2,S. aureus,0.1ng/mL LPS,0
146,20201123,Day14,1,1,S. aureus,100ng/mL LPS,0
146,20201123,Day14,1,2,S. aureus,100ng/mL LPS,0
146,20201123,Day14,1,1,S. aureus,0.1ng/mL LTA,0
146,20201123,Day14,1,2,S. aureus,0.1ng/mL LTA,0
146,20201123,Day14,1,1,S. aureus,100ng/mL LTA,0
146,20201123,Day14,1,2,S. aureus,100ng/mL LTA,0
146,20201123,Day14,1,1,S. aureus,Autoclaved bacteria,0
146,20201123,Day14,1,2,S. aureus,Autoclaved bacteria,0
146,20201123,Day14,1,1,S. aureus,Fungi alone,0
146,20201123,Day14,1,2,S. aureus,Fungi alone,0
CON,20201123,Day14,1,1,S. aureus,CON control,0
CON,20201123,Day14,1,2,S. aureus,CON control,0
CON,20201123,Day14,1,1,S. aureus,PDB control,0
CON,20201123,Day14,1,2,S. aureus,PDB control,0
13875,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,0
13875,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,0
13875,20201112,Day 3,1,1,E. coli,100ng/mL LPS,0
13875,20201112,Day 3,1,2,E. coli,100ng/mL LPS,0
13875,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,0
13875,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,0
13875,20201112,Day 3,1,1,E. coli,100ng/mL LTA,0
13875,20201112,Day 3,1,2,E. coli,100ng/mL LTA,0
13875,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,0
13875,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,0
13875,20201112,Day 3,1,1,E. coli,Fungi alone,0
13875,20201112,Day 3,1,2,E. coli,Fungi alone,0
13875,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,11
13875,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,12
13875,20201112,Day 3,1,1,S. aureus,100ng/mL LPS,11
13875,20201112,Day 3,1,2,S. aureus,100ng/mL LPS,12
13875,20201112,Day 3,1,1,S. aureus,0.1ng/mL LTA,11
13875,20201112,Day 3,1,2,S. aureus,0.1ng/mL LTA,10
13875,20201112,Day 3,1,1,S. aureus,100ng/mL LTA,11
13875,20201112,Day 3,1,2,S. aureus,100ng/mL LTA,10
13875,20201112,Day 3,1,1,S. aureus,Autoclaved bacteria,11
13875,20201112,Day 3,1,2,S. aureus,Autoclaved bacteria,10
13875,20201112,Day 3,1,1,S. aureus,Fungi alone,11.5
13875,20201112,Day 3,1,2,S. aureus,Fungi alone,12
13875,20201118,Day 7,1,1,E. coli,0.1ng/mL LPS,0
13875,20201118,Day 7,1,2,E. coli,0.1ng/mL LPS,0
13875,20201118,Day 7,1,1,E. coli,100ng/mL LPS,0
13875,20201118,Day 7,1,2,E. coli,100ng/mL LPS,0
13875,20201118,Day 7,1,1,E. coli,0.1ng/mL LTA,0
13875,20201118,Day 7,1,2,E. coli,0.1ng/mL LTA,0
13875,20201118,Day 7,1,1,E. coli,100ng/mL LTA,0
13875,20201118,Day 7,1,2,E. coli,100ng/mL LTA,0
13875,20201118,Day 7,1,1,E. coli,Autoclaved bacteria,0
13875,20201118,Day 7,1,2,E. coli,Autoclaved bacteria,0
13875,20201118,Day 7,1,1,E. coli,Fungi alone,0
13875,20201118,Day 7,1,2,E. coli,Fungi alone,0
13875,20201118,Day 7,1,1,S. aureus,0.1ng/mL LPS,10
13875,20201118,Day 7,1,2,S. aureus,0.1ng/mL LPS,9
13875,20201118,Day 7,1,1,S. aureus,100ng/mL LPS,10
13875,20201118,Day 7,1,2,S. aureus,100ng/mL LPS,11
13875,20201118,Day 7,1,1,S. aureus,0.1ng/mL LTA,10
13875,20201118,Day 7,1,2,S. aureus,0.1ng/mL LTA,9.5
13875,20201118,Day 7,1,1,S. aureus,100ng/mL LTA,11
13875,20201118,Day 7,1,2,S. aureus,100ng/mL LTA,9
13875,20201118,Day 7,1,1,S. aureus,Autoclaved bacteria,9
13875,20201118,Day 7,1,2,S. aureus,Autoclaved bacteria,9
13875,20201118,Day 7,1,1,S. aureus,Fungi alone,10
13875,20201118,Day 7,1,2,S. aureus,Fungi alone,10
13875,20201123,Day14,1,1,E. coli,0.1ng/mL LPS,0
13875,20201123,Day14,1,2,E. coli,0.1ng/mL LPS,0
13875,20201123,Day14,1,1,E. coli,100ng/mL LPS,0
13875,20201123,Day14,1,2,E. coli,100ng/mL LPS,0
13875,20201123,Day14,1,1,E. coli,0.1ng/mL LTA,0
13875,20201123,Day14,1,2,E. coli,0.1ng/mL LTA,0
13875,20201123,Day14,1,1,E. coli,100ng/mL LTA,0
13875,20201123,Day14,1,2,E. coli,100ng/mL LTA,0
13875,20201123,Day14,1,1,E. coli,Autoclaved bacteria,0
13875,20201123,Day14,1,2,E. coli,Autoclaved bacteria,0
13875,20201123,Day14,1,1,E. coli,Fungi alone,0
13875,20201123,Day14,1,2,E. coli,Fungi alone,0
13875,20201123,Day14,1,1,S. aureus,0.1ng/mL LPS,0
13875,20201123,Day14,1,2,S. aureus,0.1ng/mL LPS,0
13875,20201123,Day14,1,1,S. aureus,100ng/mL LPS,0
13875,20201123,Day14,1,2,S. aureus,100ng/mL LPS,0
13875,20201123,Day14,1,1,S. aureus,0.1ng/mL LTA,0
13875,20201123,Day14,1,2,S. aureus,0.1ng/mL LTA,0
13875,20201123,Day14,1,1,S. aureus,100ng/mL LTA,0
13875,20201123,Day14,1,2,S. aureus,100ng/mL LTA,0
13875,20201123,Day14,1,1,S. aureus,Autoclaved bacteria,0
13875,20201123,Day14,1,2,S. aureus,Autoclaved bacteria,0
13875,20201123,Day14,1,1,S. aureus,Fungi alone,0
13875,20201123,Day14,1,2,S. aureus,Fungi alone,0
13903,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,0
13903,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,0
13903,20201112,Day 3,1,1,E. coli,100ng/mL LPS,0
13903,20201112,Day 3,1,2,E. coli,100ng/mL LPS,0
13903,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,0
13903,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,0
13903,20201112,Day 3,1,1,E. coli,100ng/mL LTA,0
13903,20201112,Day 3,1,2,E. coli,100ng/mL LTA,0
13903,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,0
13903,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,0
13903,20201112,Day 3,1,1,E. coli,Fungi alone,0
13903,20201112,Day 3,1,2,E. coli,Fungi alone,0
13903,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,10
13903,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,10
13903,20201112,Day 3,1,1,S. aureus,100ng/mL LPS,11.5
13903,20201112,Day 3,1,2,S. aureus,100ng/mL LPS,10.5
13903,20201112,Day 3,1,1,S. aureus,0.1ng/mL LTA,10.5
13903,20201112,Day 3,1,2,S. aureus,0.1ng/mL LTA,11
13903,20201112,Day 3,1,1,S. aureus,100ng/mL LTA,11
13903,20201112,Day 3,1,2,S. aureus,100ng/mL LTA,11
13903,20201112,Day 3,1,1,S. aureus,Autoclaved bacteria,11
13903,20201112,Day 3,1,2,S. aureus,Autoclaved bacteria,10.5
13903,20201112,Day 3,1,1,S. aureus,Fungi alone,10
13903,20201112,Day 3,1,2,S. aureus,Fungi alone,11
13903,20201118,Day 7,1,1,E. coli,0.1ng/mL LPS,0
13903,20201118,Day 7,1,2,E. coli,0.1ng/mL LPS,0
13903,20201118,Day 7,1,1,E. coli,100ng/mL LPS,0
13903,20201118,Day 7,1,2,E. coli,100ng/mL LPS,0
13903,20201118,Day 7,1,1,E. coli,0.1ng/mL LTA,0
13903,20201118,Day 7,1,2,E. coli,0.1ng/mL LTA,0
13903,20201118,Day 7,1,1,E. coli,100ng/mL LTA,0
13903,20201118,Day 7,1,2,E. coli,100ng/mL LTA,0
13903,20201118,Day 7,1,1,E. coli,Autoclaved bacteria,0
13903,20201118,Day 7,1,2,E. coli,Autoclaved bacteria,0
13903,20201118,Day 7,1,1,E. coli,Fungi alone,0
13903,20201118,Day 7,1,2,E. coli,Fungi alone,0
13903,20201118,Day 7,1,1,S. aureus,0.1ng/mL LPS,9
13903,20201118,Day 7,1,2,S. aureus,0.1ng/mL LPS,10
13903,20201118,Day 7,1,1,S. aureus,100ng/mL LPS,10
13903,20201118,Day 7,1,2,S. aureus,100ng/mL LPS,9.5
13903,20201118,Day 7,1,1,S. aureus,0.1ng/mL LTA,9
13903,20201118,Day 7,1,2,S. aureus,0.1ng/mL LTA,9
13903,20201118,Day 7,1,1,S. aureus,100ng/mL LTA,10.5
13903,20201118,Day 7,1,2,S. aureus,100ng/mL LTA,8.5
13903,20201118,Day 7,1,1,S. aureus,Autoclaved bacteria,10
13903,20201118,Day 7,1,2,S. aureus,Autoclaved bacteria,9
13903,20201118,Day 7,1,1,S. aureus,Fungi alone,10
13903,20201118,Day 7,1,2,S. aureus,Fungi alone,10.5
13903,20201123,Day14,1,1,E. coli,0.1ng/mL LPS,0
13903,20201123,Day14,1,2,E. coli,0.1ng/mL LPS,0
13903,20201123,Day14,1,1,E. coli,100ng/mL LPS,0
13903,20201123,Day14,1,2,E. coli,100ng/mL LPS,0
13903,20201123,Day14,1,1,E. coli,0.1ng/mL LTA,0
13903,20201123,Day14,1,2,E. coli,0.1ng/mL LTA,0
13903,20201123,Day14,1,1,E. coli,100ng/mL LTA,0
13903,20201123,Day14,1,2,E. coli,100ng/mL LTA,0
13903,20201123,Day14,1,1,E. coli,Autoclaved bacteria,0
13903,20201123,Day14,1,2,E. coli,Autoclaved bacteria,0
13903,20201123,Day14,1,1,E. coli,Fungi alone,0
13903,20201123,Day14,1,2,E. coli,Fungi alone,0
13903,20201123,Day14,1,1,S. aureus,0.1ng/mL LPS,0
13903,20201123,Day14,1,2,S. aureus,0.1ng/mL LPS,0
13903,20201123,Day14,1,1,S. aureus,100ng/mL LPS,0
13903,20201123,Day14,1,2,S. aureus,100ng/mL LPS,0
13903,20201123,Day14,1,1,S. aureus,0.1ng/mL LTA,0
13903,20201123,Day14,1,2,S. aureus,0.1ng/mL LTA,0
13903,20201123,Day14,1,1,S. aureus,100ng/mL LTA,0
13903,20201123,Day14,1,2,S. aureus,100ng/mL LTA,0
13903,20201123,Day14,1,1,S. aureus,Autoclaved bacteria,0
13903,20201123,Day14,1,2,S. aureus,Autoclaved bacteria,0
13903,20201123,Day14,1,1,S. aureus,Fungi alone,0
13903,20201123,Day14,1,2,S. aureus,Fungi alone,0
19129,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,0
19129,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,0
19129,20201112,Day 3,1,1,E. coli,100ng/mL LPS,0
19129,20201112,Day 3,1,2,E. coli,100ng/mL LPS,0
19129,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,0
19129,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,0
19129,20201112,Day 3,1,1,E. coli,100ng/mL LTA,0
19129,20201112,Day 3,1,2,E. coli,100ng/mL LTA,0
19129,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,0
19129,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,0
19129,20201112,Day 3,1,1,E. coli,Fungi alone,0
19129,20201112,Day 3,1,2,E. coli,Fungi alone,0
19129,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,9
19129,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,10
19129,20201112,Day 3,1,1,S. aureus,100ng/mL LPS,10
19129,20201112,Day 3,1,2,S. aureus,100ng/mL LPS,10
19129,20201112,Day 3,1,1,S. aureus,0.1ng/mL LTA,11
19129,20201112,Day 3,1,2,S. aureus,0.1ng/mL LTA,10
19129,20201112,Day 3,1,1,S. aureus,100ng/mL LTA,10
19129,20201112,Day 3,1,2,S. aureus,100ng/mL LTA,10.5
19129,20201112,Day 3,1,1,S. aureus,Autoclaved bacteria,10
19129,20201112,Day 3,1,2,S. aureus,Autoclaved bacteria,9
19129,20201112,Day 3,1,1,S. aureus,Fungi alone,10
19129,20201112,Day 3,1,2,S. aureus,Fungi alone,10
19129,20201118,Day 7,1,1,E. coli,0.1ng/mL LPS,0
19129,20201118,Day 7,1,2,E. coli,0.1ng/mL LPS,0
19129,20201118,Day 7,1,1,E. coli,100ng/mL LPS,0
19129,20201118,Day 7,1,2,E. coli,100ng/mL LPS,0
19129,20201118,Day 7,1,1,E. coli,0.1ng/mL LTA,0
19129,20201118,Day 7,1,2,E. coli,0.1ng/mL LTA,0
19129,20201118,Day 7,1,1,E. coli,100ng/mL LTA,0
19129,20201118,Day 7,1,2,E. coli,100ng/mL LTA,0
19129,20201118,Day 7,1,1,E. coli,Autoclaved bacteria,0
19129,20201118,Day 7,1,2,E. coli,Autoclaved bacteria,0
19129,20201118,Day 7,1,1,E. coli,Fungi alone,0
19129,20201118,Day 7,1,2,E. coli,Fungi alone,0
19129,20201118,Day 7,1,1,S. aureus,0.1ng/mL LPS,9
19129,20201118,Day 7,1,2,S. aureus,0.1ng/mL LPS,8.5
19129,20201118,Day 7,1,1,S. aureus,100ng/mL LPS,9
19129,20201118,Day 7,1,2,S. aureus,100ng/mL LPS,8.5
19129,20201118,Day 7,1,1,S. aureus,0.1ng/mL LTA,10
19129,20201118,Day 7,1,2,S. aureus,0.1ng/mL LTA,8.5
19129,20201118,Day 7,1,1,S. aureus,100ng/mL LTA,10
19129,20201118,Day 7,1,2,S. aureus,100ng/mL LTA,9.5
19129,20201118,Day 7,1,1,S. aureus,Autoclaved bacteria,9.5
19129,20201118,Day 7,1,2,S. aureus,Autoclaved bacteria,9
19129,20201118,Day 7,1,1,S. aureus,Fungi alone,9
19129,20201118,Day 7,1,2,S. aureus,Fungi alone,9.5
19129,20201123,Day14,1,1,E. coli,0.1ng/mL LPS,0
19129,20201123,Day14,1,2,E. coli,0.1ng/mL LPS,0
19129,20201123,Day14,1,1,E. coli,100ng/mL LPS,0
19129,20201123,Day14,1,2,E. coli,100ng/mL LPS,0
19129,20201123,Day14,1,1,E. coli,0.1ng/mL LTA,0
19129,20201123,Day14,1,2,E. coli,0.1ng/mL LTA,0
19129,20201123,Day14,1,1,E. coli,100ng/mL LTA,0
19129,20201123,Day14,1,2,E. coli,100ng/mL LTA,0
19129,20201123,Day14,1,1,E. coli,Autoclaved bacteria,0
19129,20201123,Day14,1,2,E. coli,Autoclaved bacteria,0
19129,20201123,Day14,1,1,E. coli,Fungi alone,0
19129,20201123,Day14,1,2,E. coli,Fungi alone,0
19129,20201123,Day14,1,1,S. aureus,0.1ng/mL LPS,0
19129,20201123,Day14,1,2,S. aureus,0.1ng/mL LPS,0
19129,20201123,Day14,1,1,S. aureus,100ng/mL LPS,0
19129,20201123,Day14,1,2,S. aureus,100ng/mL LPS,0
19129,20201123,Day14,1,1,S. aureus,0.1ng/mL LTA,0
19129,20201123,Day14,1,2,S. aureus,0.1ng/mL LTA,0
19129,20201123,Day14,1,1,S. aureus,100ng/mL LTA,0
19129,20201123,Day14,1,2,S. aureus,100ng/mL LTA,0
19129,20201123,Day14,1,1,S. aureus,Autoclaved bacteria,0
19129,20201123,Day14,1,2,S. aureus,Autoclaved bacteria,0
19129,20201123,Day14,1,1,S. aureus,Fungi alone,0
19129,20201123,Day14,1,2,S. aureus,Fungi alone,0
5181,20201112,Day 3,1,1,E. coli,0.1ng/mL LPS,0
5181,20201112,Day 3,1,2,E. coli,0.1ng/mL LPS,0
5181,20201112,Day 3,1,1,E. coli,100ng/mL LPS,0
5181,20201112,Day 3,1,2,E. coli,100ng/mL LPS,0
5181,20201112,Day 3,1,1,E. coli,0.1ng/mL LTA,0
5181,20201112,Day 3,1,2,E. coli,0.1ng/mL LTA,0
5181,20201112,Day 3,1,1,E. coli,100ng/mL LTA,0
5181,20201112,Day 3,1,2,E. coli,100ng/mL LTA,0
5181,20201112,Day 3,1,1,E. coli,Autoclaved bacteria,0
5181,20201112,Day 3,1,2,E. coli,Autoclaved bacteria,0
5181,20201112,Day 3,1,1,E. coli,Fungi alone,0
5181,20201112,Day 3,1,2,E. coli,Fungi alone,0
5181,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,10
5181,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,11
5181,20201112,Day 3,1,1,S. aureus,100ng/mL LPS,10
5181,20201112,Day 3,1,2,S. aureus,100ng/mL LPS,10
5181,20201112,Day 3,1,1,S. aureus,0.1ng/mL LTA,10
5181,20201112,Day 3,1,2,S. aureus,0.1ng/mL LTA,10
5181,20201112,Day 3,1,1,S. aureus,100ng/mL LTA,10
5181,20201112,Day 3,1,2,S. aureus,100ng/mL LTA,9
5181,20201112,Day 3,1,1,S. aureus,Autoclaved bacteria,10
5181,20201112,Day 3,1,2,S. aureus,Autoclaved bacteria,9.5
5181,20201112,Day 3,1,1,S. aureus,Fungi alone,10
5181,20201112,Day 3,1,2,S. aureus,Fungi alone,10.5
5181,20201118,Day 7,1,1,E. coli,0.1ng/mL LPS,0
5181,20201118,Day 7,1,2,E. coli,0.1ng/mL LPS,0
5181,20201118,Day 7,1,1,E. coli,100ng/mL LPS,0
5181,20201118,Day 7,1,2,E. coli,100ng/mL LPS,0
5181,20201118,Day 7,1,1,E. coli,0.1ng/mL LTA,0
5181,20201118,Day 7,1,2,E. coli,0.1ng/mL LTA,0
5181,20201118,Day 7,1,1,E. coli,100ng/mL LTA,0
5181,20201118,Day 7,1,2,E. coli,100ng/mL LTA,0
5181,20201118,Day 7,1,1,E. coli,Autoclaved bacteria,0
5181,20201118,Day 7,1,2,E. coli,Autoclaved bacteria,0
5181,20201118,Day 7,1,1,E. coli,Fungi alone,0
5181,20201118,Day 7,1,2,E. coli,Fungi alone,0
5181,20201118,Day 7,1,1,S. aureus,0.1ng/mL LPS,9
5181,20201118,Day 7,1,2,S. aureus,0.1ng/mL LPS,8.5
5181,20201118,Day 7,1,1,S. aureus,100ng/mL LPS,8
5181,20201118,Day 7,1,2,S. aureus,100ng/mL LPS,9
5181,20201118,Day 7,1,1,S. aureus,0.1ng/mL LTA,9.5
5181,20201118,Day 7,1,2,S. aureus,0.1ng/mL LTA,10
5181,20201118,Day 7,1,1,S. aureus,100ng/mL LTA,10
5181,20201118,Day 7,1,2,S. aureus,100ng/mL LTA,10
5181,20201118,Day 7,1,1,S. aureus,Autoclaved bacteria,11
5181,20201118,Day 7,1,2,S. aureus,Autoclaved bacteria,9
5181,20201118,Day 7,1,1,S. aureus,Fungi alone,8.5
5181,20201118,Day 7,1,2,S. aureus,Fungi alone,8.5
5181,20201123,Day14,1,1,E. coli,0.1ng/mL LPS,0
5181,20201123,Day14,1,2,E. coli,0.1ng/mL LPS,0
5181,20201123,Day14,1,1,E. coli,100ng/mL LPS,0
5181,20201123,Day14,1,2,E. coli,100ng/mL LPS,0
5181,20201123,Day14,1,1,E. coli,0.1ng/mL LTA,0
5181,20201123,Day14,1,2,E. coli,0.1ng/mL LTA,0
5181,20201123,Day14,1,1,E. coli,100ng/mL LTA,0
5181,20201123,Day14,1,2,E. coli,100ng/mL LTA,0
5181,20201123,Day14,1,1,E. coli,Autoclaved bacteria,0
5181,20201123,Day14,1,2,E. coli,Autoclaved bacteria,0
5181,20201123,Day14,1,1,E. coli,Fungi alone,0
5181,20201123,Day14,1,2,E. coli,Fungi alone,0
5181,20201123,Day14,1,1,S. aureus,0.1ng/mL LPS,0
5181,20201123,Day14,1,2,S. aureus,0.1ng/mL LPS,0
5181,20201123,Day14,1,1,S. aureus,100ng/mL LPS,0
5181,20201123,Day14,1,2,S. aureus,100ng/mL LPS,0
5181,20201123,Day14,1,1,S. aureus,0.1ng/mL LTA,0
5181,20201123,Day14,1,2,S. aureus,0.1ng/mL LTA,0
5181,20201123,Day14,1,1,S. aureus,100ng/mL LTA,0
5181,20201123,Day14,1,2,S. aureus,100ng/mL LTA,0
5181,20201123,Day14,1,1,S. aureus,Autoclaved bacteria,0
5181,20201123,Day14,1,2,S. aureus,Autoclaved bacteria,0
5181,20201123,Day14,1,1,S. aureus,Fungi alone,0
5181,20201123,Day14,1,2,S. aureus,Fungi alone,0
146,20201119,Day 3,2,1,E. coli,0.1ng/mL LPS,0
146,20201119,Day 3,2,2,E. coli,0.1ng/mL LPS,0
146,20201119,Day 3,2,1,E. coli,100ng/mL LPS,0
146,20201119,Day 3,2,2,E. coli,100ng/mL LPS,0
146,20201119,Day 3,2,1,E. coli,0.1ng/mL LTA,0
146,20201119,Day 3,2,2,E. coli,0.1ng/mL LTA,0
146,20201119,Day 3,2,1,E. coli,100ng/mL LTA,0
146,20201119,Day 3,2,2,E. coli,100ng/mL LTA,0
146,20201119,Day 3,2,1,E. coli,Autoclaved bacteria,0
146,20201119,Day 3,2,2,E. coli,Autoclaved bacteria,0
146,20201119,Day 3,2,1,E. coli,Fungi alone,0
146,20201119,Day 3,2,2,E. coli,Fungi alone,0
CON,20201119,Day 3,2,1,E. coli,CON control,0
CON,20201119,Day 3,2,2,E. coli,CON control,0
CON,20201119,Day 3,2,1,E. coli,PDB control,0
CON,20201119,Day 3,2,2,E. coli,PDB control,0
146,20201119,Day 3,2,1,S. aureus,0.1ng/mL LPS,10.5
146,20201119,Day 3,2,2,S. aureus,0.1ng/mL LPS,10
146,20201119,Day 3,2,1,S. aureus,100ng/mL LPS,11
146,20201119,Day 3,2,2,S. aureus,100ng/mL LPS,9.5
146,20201119,Day 3,2,1,S. aureus,0.1ng/mL LTA,10.5
146,20201119,Day 3,2,2,S. aureus,0.1ng/mL LTA,9
146,20201119,Day 3,2,1,S. aureus,100ng/mL LTA,10
146,20201119,Day 3,2,2,S. aureus,100ng/mL LTA,10
146,20201119,Day 3,2,1,S. aureus,Autoclaved bacteria,11
146,20201119,Day 3,2,2,S. aureus,Autoclaved bacteria,11
146,20201119,Day 3,2,1,S. aureus,Fungi alone,10
146,20201119,Day 3,2,2,S. aureus,Fungi alone,10.5
CON,20201119,Day 3,2,1,S. aureus,CON control,0
CON,20201119,Day 3,2,2,S. aureus,CON control,0
CON,20201119,Day 3,2,1,S. aureus,PDB control,0
CON,20201119,Day 3,2,2,S. aureus,PDB control,0
146,20201123,Day 7,2,1,E. coli,0.1ng/mL LPS,0
146,20201123,Day 7,2,2,E. coli,0.1ng/mL LPS,0
146,20201123,Day 7,2,1,E. coli,100ng/mL LPS,0
146,20201123,Day 7,2,2,E. coli,100ng/mL LPS,0
146,20201123,Day 7,2,1,E. coli,0.1ng/mL LTA,0
